Date,Open,High,Low,Close,Volume,buy_sell,price
2007-08-13,19.469236373901367,19.715059280395508,14.749422073364258,17.453481674194336,3428268,B,18.171119918823237
2007-09-03,19.17424774169922,19.626564025878903,18.2401180267334,19.2725772857666,685856,S,19.18424774169922
2007-09-17,18.731765747070312,19.213579177856445,18.12212371826172,18.682601928710938,1234316,B,18.230118026733397
2007-10-22,17.6501407623291,18.977588653564453,17.207658767700195,18.436777114868164,324214,S,18.200952301025392
2007-11-05,17.502647399902344,17.502647399902344,14.15944480895996,14.542929649353027,821724,B,17.197658767700194
2007-12-03,12.42884635925293,14.257774353027344,12.183021545410156,13.530136108398438,1697453,S,14.159612426757812
2007-12-10,13.17615032196045,13.559635162353516,11.012901306152344,11.78970432281494,1188552,B,11.986195793151856
2008-02-11,8.161346435546875,8.849653244018555,7.895856857299805,8.456335067749023,1407917,S,8.751490364074707
2008-03-03,8.544831275939941,8.741490364074707,7.758195877075195,7.797526836395264,1480225,B,8.348004570007324
2008-03-24,7.423874855041504,8.43666934967041,7.325545787811279,7.817193031311035,1070988,S,8.171346435546875
2008-04-07,7.709031105041504,7.836859226226807,7.178051948547363,7.276381015777588,785622,B,7.3155457878112795
2008-04-14,7.276381015777588,8.0138521194458,7.079721927642822,7.935188770294189,538494,S,7.846859226226806
2008-05-12,9.37079906463623,11.307889938354492,8.9774808883667,10.334427833557127,1715759,B,8.987146606445313
2008-06-02,10.816242218017578,11.779870986938477,10.668747901916504,11.779870986938477,1054005,S,11.121230850219728
2008-06-16,10.32459545135498,10.32459545135498,9.144640922546388,9.72478485107422,640804,B,10.009774436950684
2008-07-14,8.505499839782715,9.341300010681152,8.358004570007324,8.938149452209473,249262,S,8.967815170288086
2008-07-28,9.056144714355469,9.056144714355469,8.161346435546875,8.407170295715332,654024,B,8.348004570007324
2008-11-10,2.222245931625366,2.359906911849976,2.094417095184326,2.202579975128174,906439,S,2.2519118881225584
2008-11-17,2.1140830516815186,2.1140830516815186,1.8879259824752808,1.9075909852981567,527511,B,1.917256941795349
2008-12-29,1.7207649946212769,2.015753984451294,1.7207649946212769,2.005920886993408,1286694,S,1.8192620372772217
2009-01-19,2.045253038406372,2.045253038406372,1.7699300050735474,1.8190950155258176,711381,B,1.9565889739990237
2009-02-09,1.9370900392532349,1.9862550497055051,1.8682600259780884,1.9665889739990237,302451,S,1.9470900392532349
2009-02-23,1.858427047729492,1.8682600259780884,1.7699300050735474,1.7699300050735474,472898,B,1.818927993774414
2009-03-23,1.6519349813461304,1.750264048576355,1.5929369926452637,1.6421020030975342,924033,S,1.7504309511184692
2009-06-15,4.0806732177734375,4.0806732177734375,3.471029996871948,3.471029996871948,2839329,B,3.5298609638214113
2009-07-13,3.333369016647339,3.913512945175171,3.264538049697876,3.844681978225708,2954860,S,3.4318649864196775
2009-08-17,4.788644790649414,5.181962966918945,4.405159950256348,5.0246357917785645,3321077,B,4.631150951385498
2009-08-24,5.113131999969482,5.771940231323242,4.818143844604492,5.653944969177246,3327584,S,5.555782089233398
2009-10-26,6.784733772277832,6.942060947418213,5.909601211547852,6.243922233581543,2434059,B,6.135592212677002
2010-01-04,5.703108787536621,6.833898067474365,5.673611164093018,6.784733772277832,8426564,S,5.752441177368164
2010-02-01,6.735569000244141,6.883062839508057,6.145592212677002,6.489745140075684,1577246,B,6.33225082397461
2010-03-15,6.361917018890381,7.15838623046875,6.361917018890381,7.050222873687744,4327286,S,6.6275742149353025
2010-04-26,7.296047210693359,7.463206768035889,6.814231872558594,7.335379123687744,1368560,B,7.187717189788819
2010-05-31,6.489745140075684,6.87322998046875,6.342250823974609,6.489745140075684,539511,S,6.578408966064453
2010-06-28,6.932228088378906,6.981392860412598,6.529077053070068,6.686404228210449,1088379,B,6.578075160980225
2010-07-26,6.784733772277832,6.961727142333984,6.725736141204834,6.745401859283447,2053604,S,6.873397121429443
2010-08-16,6.991226196289063,7.227215766906738,6.5585761070251465,6.814231872558594,2283850,B,6.774733772277832
2010-11-08,5.909601211547852,6.361917018890381,5.899767875671387,6.145592212677002,1186113,S,6.244088897705078
2011-01-24,7.001059055328369,7.001059055328369,6.332417964935303,6.479911804199219,1982517,B,6.725569000244141
2011-03-14,6.479911804199219,6.529077053070068,6.194756984710693,6.4602460861206055,1729591,S,6.499745140075683
2011-03-21,6.489745140075684,6.49957799911499,6.155425071716309,6.312751770019531,586879,B,6.184756984710694
2011-03-28,6.342250823974609,6.5585761070251465,6.253754138946533,6.342250823974609,407912,S,6.539077053070068
2011-04-18,6.509410858154297,6.991226196289063,6.420915126800537,6.991226196289063,294519,B,6.460078945159912
2011-04-25,7.001059055328369,7.001059055328369,6.529077053070068,6.57824182510376,1036717,S,7.001226196289063
2011-05-02,6.715902805328369,6.715902805328369,6.243922233581543,6.391416072845459,1030309,B,6.410915126800537
2011-07-11,5.1426310539245605,5.447453022003174,4.945971965789795,5.447453022003174,1102007,S,5.221462020874023
2011-08-01,5.476952075958252,5.88993501663208,4.975471019744873,5.034469127655029,2254459,B,5.093300094604492
2011-09-12,5.063968181610107,5.388454914093018,5.063968181610107,5.309791088104248,744128,S,5.349290142059326
2011-09-19,5.240961074829102,5.368789196014404,4.867309093475342,4.916473865509033,451847,B,4.916305770874024
2011-10-24,5.004970073699951,5.152463912963867,4.886974811553955,5.044301986694336,939898,S,4.9953038787841795
2011-11-28,5.0246357917785645,5.063968181610107,4.719814777374268,4.916473865509033,2059502,B,4.719648113250733
2011-12-05,4.945971965789795,5.113131999969482,4.886974811553955,5.113131999969482,437099,S,5.073968181610107
2011-12-19,4.965638160705566,4.965638160705566,4.542820930480957,4.778811931610107,703245,B,4.867141952514649
2011-12-26,4.818143844604492,5.211462020874023,4.690316200256348,5.211462020874023,461711,S,5.0936338996887205
2012-01-16,4.965638160705566,5.0934672355651855,4.788644790649414,4.965638160705566,856098,B,4.817977180480957
2012-01-23,4.9951372146606445,5.191795825958252,4.965638160705566,5.191795825958252,534223,S,5.103467235565185
2012-03-05,6.352084159851074,6.87322998046875,5.939099788665772,6.125926017761231,3179104,B,5.968432178497315
2012-03-19,6.49957799911499,7.030557155609131,6.361917018890381,6.863397121429443,1316999,S,6.88322998046875
2012-05-07,8.289175033569336,8.407170295715332,7.679532051086426,7.964686870574951,1570840,B,7.758027782440186
2012-06-18,7.48287296295166,7.71886396408081,7.296047210693359,7.571369171142578,727552,S,7.640366802215576
2012-09-10,10.619583129882812,10.639248847961426,9.941109657287598,10.472088813781738,9552066,B,10.137602081298828
2012-09-17,10.40325927734375,11.5438814163208,10.186934471130373,11.504549026489258,3300636,S,10.767245063781738
2012-10-22,11.012901306152344,11.0718994140625,10.40325927734375,10.708080291748049,4385458,B,11.268390884399414
2012-11-05,10.963736534118652,11.5438814163208,10.757245063781738,11.307889938354492,2263509,S,11.0818994140625
2012-11-26,11.730707168579102,11.770037651062012,10.46225643157959,10.560585975646973,9680817,B,10.963569869995116
2012-12-24,10.531086921691896,11.05223274230957,10.501587867736816,11.05223274230957,2407415,S,10.65908218383789
2013-02-25,12.851662635803224,12.910659790039062,12.310850143432615,12.53700828552246,3373248,B,12.379513969421389
